Vezejas;Duomenu pateikimo data;Pakelimai uz diena;Pakelimu sk.
Ecoservice;2019-02-26;2019-02-24;16
Ecoservice;2019-02-26;2019-02-25;3594
Ekonovus;2019-02-26;2019-02-26;404
VSA Vilnius;2019-02-26;2019-02-25;25
VSA Vilnius;2019-02-26;2019-02-26;1398
