Vezejas;Duomenu pateikimo data;Pakelimai uz diena;Pakelimu sk.
Ecoservice;2019-02-27;2019-02-22;2
Ecoservice;2019-02-27;2019-02-25;817
Ecoservice;2019-02-27;2019-02-26;4163
Ekonovus;2019-02-27;2019-02-21;131
Ekonovus;2019-02-27;2019-02-22;236
Ekonovus;2019-02-27;2019-02-26;607
Ekonovus;2019-02-27;2019-02-27;753
VSA Vilnius;2019-02-27;2019-02-27;1650
