Vezejas;Duomenu pateikimo data;Pakelimai uz diena;Pakelimu sk.
Ecoservice;2019-02-28;2019-02-25;1
Ecoservice;2019-02-28;2019-02-26;512
Ecoservice;2019-02-28;2019-02-27;3899
Ekonovus;2019-02-28;2019-02-28;1001
VSA Vilnius;2019-02-28;2019-02-27;197
VSA Vilnius;2019-02-28;2019-02-28;1480
